Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Golden Gardens Park,47.686852,-122.40345400000001,Domino's Pizza,47.690144849154,-122.37710058689117,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Miri’s At Golden Gardens,47.691537,-122.403877,Kebab Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Lucky Santo,47.690437,-122.39796,Gluten-free Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Robertino's,47.68689602986237,-122.38810262449806,Café
Golden Gardens Park,47.686852,-122.40345400000001,McDonald's,47.69506999628123,-122.37448290805332,Fast Food Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,SUBWAY,47.69412762198758,-122.37634694154724,Sandwich Place
Golden Gardens Park,47.686852,-122.40345400000001,The People's Burger,47.68411474417614,-122.37915259758593,Food Truck
Golden Gardens Park,47.686852,-122.40345400000001,Juliano's Pizza,47.689652,-122.377073,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Bento Sushi,47.69073725895088,-122.37721782425132,Sushi Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Sazon Kitchen,47.681571,-122.377033,Mexican Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Rizzo's French Dip,47.682431,-122.376392,Sandwich Place
Golden Gardens Park,47.686852,-122.40345400000001,Adrian's Discount Tire and Falafel Hut,47.687212,-122.37441,Greek Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Barn & Field Kitchen & Bakery,47.700046043551325,-122.37811866821097,Café
Golden Gardens Park,47.686852,-122.40345400000001,Crown Hill Liqour And Wine,47.690753,-122.370761,Deli / Bodega
Golden Gardens Park,47.686852,-122.40345400000001,Sunny Hill,47.690407,-122.398156,Pizza Place
